Month,Sales_volume,Revenue,Cost,Promotion_expense,Profit,Version,Unit_price,Unit_cost,ROI,Profit_rate,Target,Time_to_peak,Total_sales
8,0.0,0.0,0.0,0.0,0.0,1,130.237936405343,56.353391414812,0.655850795141143,0.360520438753238,8599.0,3,688054.0
9,8599.0,1986565.0,513463.73,297984.75,1175116.52,1,231.022793348064,59.7120281428073,1.44817144768082,0.591531875372817,22031.0,3,688054.0
10,22031.0,5027268.0,1296847.55,754090.2,2976330.25,1,228.190640461168,58.8646702373928,1.45120457702824,0.592037315297295,57819.0,3,688054.0
11,57819.0,13622729.0,3466877.14,2043409.35,8112442.51,1,235.609903318978,59.9608630381017,1.47223606698533,0.59550788318552,34354.0,3,688054.0
12,34354.0,7977976.0,2038590.83,1196696.4,4742688.77,1,232.228445013681,59.3407122896897,1.46592510427583,0.594472679536765,20282.0,3,688054.0
1,20282.0,2065139.0,1170602.1,309770.85,584766.05,1,101.821270091707,57.7163050981166,0.395012655425783,0.283160625023304,51821.0,3,688054.0
2,51821.0,5337805.0,3035617.53,800670.75,1501516.72,1,103.00466992146,58.5789068138399,0.391398302319449,0.2812985337606,44919.0,3,688054.0
3,44919.0,4444286.0,2567244.52,666642.9,1210398.58,1,98.9400031167212,57.1527531779425,0.374285936026802,0.272349389755745,38706.0,3,688054.0
4,38706.0,3757916.0,2150703.62,563687.4,1043524.98,1,97.0887200950757,55.565122203276,0.384441656456703,0.277687148941062,42304.0,3,688054.0
5,42304.0,3930209.0,2267454.91,589531.35,1073222.74,1,92.9039570726172,53.5990665185325,0.375648547921263,0.273070144615719,57694.0,3,688054.0
6,57694.0,5585737.0,3158599.92,837860.55,1589276.53,1,96.8166013796929,54.7474593545256,0.397671024630453,0.284524052958455,43168.0,3,688054.0
7,43168.0,4106547.0,2381064.21,615982.05,1109500.74,1,95.1294245737583,55.1580849240178,0.370198069615382,0.270178507636708,44017.0,3,688054.0
8,44017.0,4260164.0,2416149.64,639024.6,1204989.76,1,96.7845150737215,54.8912838221596,0.3944095051024,0.282850556926916,39576.0,3,688054.0
9,39576.0,3809356.0,2107629.01,571403.4,1130323.59,1,96.2541944612897,53.2552306953709,0.421914862164732,0.296723013023724,30128.0,3,688054.0
10,30128.0,2837166.0,1619314.91,425574.9,792276.19,1,94.1704062665959,53.747839551248,0.387441996202231,0.279249148622252,71379.0,3,688054.0
11,71379.0,7395941.0,4106292.66,1109391.15,2180257.19,1,103.61508286751,57.5280216870508,0.418019433198731,0.294791046872872,54844.0,3,688054.0
12,54844.0,5071747.0,2899932.62,760762.05,1411052.33,1,92.4758770330392,52.8760232659908,0.38546026292873,0.278218201736009,26413.0,3,688054.0
1,26413.0,3116428.0,1460989.75,467464.2,1187974.05,1,117.988414795745,55.3132832317419,0.616024069436556,0.381197335539278,11393.0,3,688054.0
1,0.0,0.0,0.0,0.0,0.0,2,122.158174794506,54.4988894109202,0.677686181232348,0.40352486559957,11393.0,4,252866.0
2,11393.0,1411786.5105,642447.74,211767.976575,557570.793925,2,123.917011366629,56.3896901606249,0.652728325065938,0.394939879208458,24579.0,4,252866.0
3,24579.0,3018973.836,1385720.01,452846.0754,1180407.7506,2,122.827366288295,56.378209447089,0.64202628340291,0.390996349992879,27689.0,4,252866.0
4,27689.0,3137502.88,1423954.76,470625.432,1242922.688,2,113.312249629817,51.4267311928925,0.656041213377153,0.39615029389232,31195.0,4,252866.0
5,31195.0,3483732.7235,1555116.23,522559.908525,1406056.584975,2,111.675996906556,49.8514579259497,0.676744829910401,0.403606331648307,26911.0,4,252866.0
6,26911.0,3269156.403,1528719.08,490373.46045,1250063.86255,2,121.480301846828,56.8064761621642,0.619121628903346,0.382381173749551,16692.0,4,252866.0
7,16692.0,2031401.2395,921020.98,304710.185925,805670.073575,2,121.699091750539,55.1773891684639,0.657297534706152,0.396608044688062,19901.0,4,252866.0
8,19901.0,2465371.7957,1118475.75,369805.769355,977090.276345,2,123.881804718356,56.2019873373197,0.656522481558769,0.396325729875389,18148.0,4,252866.0
9,18148.0,2230768.0913,1008723.07,334615.213695,887429.807605,2,122.920877854309,55.5831535155389,0.660615288327841,0.397813565231625,28545.0,4,252866.0
10,28545.0,3238344.3278,1388997.89,485751.64917,1363594.78863,2,113.446989938693,48.659936591347,0.727347712395598,0.421077764005525,24687.0,4,252866.0
11,24687.0,3155006.5,1393609.69,473250.975,1288145.835,2,127.800320006481,56.4511560740471,0.690006415127933,0.408286269774721,9350.0,4,252866.0
