Month,Sales_volume,Total_sales,Unit_price,Unit_cost,ROI,Profit_rate,Time_to_peak,Target,Version,Int_month
0.434456617147765,-0.9275845357873811,1.2269009640175141,0.6510156356749909,1.2965542148355644,-0.005091986166295606,-0.2793430387759237,-0.40596360521040004,-0.5518975253313089,1,8
0.7209461255567985,-0.5225595976510321,1.2269009640175141,3.9369718689327815,1.910764045043007,3.1572042028896976,2.5026791330743237,-0.40596360521040004,0.0867621565827586,1,9
1.007435633965832,0.11010640642472533,1.2269009640175141,3.8446332903552074,1.755803685421077,3.169309975149344,2.5087660398396867,-0.40596360521040004,1.7883965145592808,1,10
1.2939251423748654,1.7957713076950657,1.2269009640175141,4.086528489429155,1.9562696626986817,3.2532504862647538,2.5505613593928618,-0.40596360521040004,0.6726915237825094,1,11
1.580414650783899,0.6905369579602791,1.2269009640175141,3.9762805381708937,1.842859753639387,3.228062283405776,2.5380946194540974,-0.40596360521040004,0.0036013626825424057,1,12
-1.5709699417154692,0.02772605791902998,1.2269009640175141,-0.27547197996717976,1.5457967051091623,-1.0461445606995987,-1.2109710142397203,-0.40596360521040004,1.5032058674389281,1,1
-1.2844804333064357,1.5132571108184727,1.2269009640175141,-0.2368888022461151,1.703544772631575,-1.060570102956293,-1.233395787898793,-0.40596360521040004,1.1750321684684923,1,2
-0.9979909248974023,1.188163248390623,1.2269009640175141,-0.3694118580732251,1.4427372922473805,-1.1288686769484153,-1.3411684480099295,-0.40596360521040004,0.8796187822466266,1,3
-0.7115014164883688,0.8955222505256228,1.2269009640175141,-0.4297704790906427,1.1523996849515685,-1.0883353450080546,-1.2768869361555912,-0.40596360521040004,1.0506951324198557,1,4
-0.42501190807933537,1.0649930875316216,1.2269009640175141,-0.5662091123881953,0.7928577558589709,-1.1234302444309685,-1.3324885487362912,-0.40596360521040004,1.7824530615932848,1,5
-0.13852239967030192,1.7898836327018055,1.2269009640175141,-0.43864254793235774,1.0028698012008848,-1.035534524500131,-1.1945515382137073,-0.40596360521040004,1.09177627932082,1,6
0.14796710873873156,1.1056886970850355,1.2269009640175141,-0.4936507040209214,1.0779628469043347,-1.145184097141954,-1.3673119250429728,-0.40596360521040004,1.1321442118658651,1,7
0.434456617147765,1.1456777856392582,1.2269009640175141,-0.43968867926902144,1.0291716638312862,-1.0485518436133383,-1.2147050991471935,-0.40596360521040004,0.9209852148899588,1,8
0.7209461255567985,0.9365004684787132,1.2269009640175141,-0.4569790775977676,0.729978867885463,-0.9387729484929931,-1.0476420264089668,-0.40596360521040004,0.47175526590811623,1,9
1.007435633965832,0.49148644178814166,1.2269009640175141,-0.5249182205886096,0.8200645860594413,-1.0763604420281259,-1.258076102332461,-0.40596360521040004,2.433142292310528,1,10
1.2939251423748654,2.4344662909639214,1.2269009640175141,-0.21698709988943896,1.511364424601521,-0.9543203157545153,-1.0709082886580754,-0.40596360521040004,1.6469423339685756,1,11
1.580414650783899,1.6556446428554752,1.2269009640175141,-0.5801660928022672,0.6606314064968745,-1.0842699008544612,-1.2704915789750788,-0.40596360521040004,0.2951158437587148,1,12
-1.5709699417154692,0.31650474098845144,1.2269009640175141,0.25163627345234496,1.1063446976240459,-0.16404771010772973,-0.03033551713295862,-0.40596360521040004,-0.41904946463536596,1,1
-1.5709699417154692,-0.9275845357873811,-0.9299566496687374,0.3875857531138058,0.9574126365173804,0.08205702099570837,0.23855023406331272,0.19965423207068866,-0.41904946463536596,2,1
-1.2844804333064357,-0.3909582862016824,-0.9299566496687374,0.44493028058318523,1.3031923386661795,-0.01755433356013373,0.13516304754736175,0.19965423207068866,0.2079135018416213,2,2
-0.9979909248974023,0.23012077348733923,-0.9299566496687374,0.40940385185366684,1.3010928061228797,-0.0602681331533069,0.08767195414687957,0.19965423207068866,0.35578661163560205,2,3
-0.7115014164883688,0.37660612731965054,-0.9299566496687374,0.09917612675136965,0.39559249034412125,-0.004331992267195196,0.14973981715198695,0.19965423207068866,0.5224885804258582,2,4
-0.42501190807933537,0.5417436355306099,-0.9299566496687374,0.04582828265768543,0.10751479567877194,0.0782999162321077,0.23953131256382246,0.19965423207068866,0.3187945603752429,2,5
-0.13852239967030192,0.3399612381615997,-0.9299566496687374,0.36548460711480635,1.379411971800213,-0.1516847854940565,-0.016078802413303447,0.19965423207068866,-0.16709460650086305,2,6
0.14796710873873156,-0.14136796788740014,-0.9299566496687374,0.372617960970551,1.0814931056562533,0.0006822152234070344,0.15525241376439392,0.19965423207068866,-0.014514281957813438,2,7
0.434456617147765,0.00978042453957319,-0.9299566496687374,0.44378241463532225,1.2688662329963474,-0.0024111632041639184,0.15185255581886983,0.19965423207068866,-0.0978652663529415,2,8
0.7209461255567985,-0.07278832956590647,-0.9299566496687374,0.4124526721084799,1.1556971565569683,0.013923974857544949,0.16977024426616288,0.19965423207068866,0.39648737754674274,2,9
1.007435633965832,0.41692492567349576,-0.9299566496687374,0.10356915533971967,-0.11038436278475611,0.2802652467144828,0.44993609988958877,0.19965423207068866,0.21304864520424185,2,10
1.2939251423748654,0.23520772468151596,-0.9299566496687374,0.5715403946208291,1.3144329018184577,0.13122932083593744,0.29589082368192937,0.19965423207068866,-0.5161892599116048,2,11
1.580414650783899,-0.48718644629152547,-0.9299566496687374,0.5496183770221176,1.2164523442529116,0.1527084735556061,0.31851043866587797,0.19965423207068866,-0.305743477291618,2,12
-1.5709699417154692,-0.2787156501301718,-0.9299566496687374,0.8326249137081,1.0755898571002371,0.5638255122082898,0.7253629036762161,0.19965423207068866,-0.5552734066159946,2,1
