X,Y
0.940950920245399, 13.728179551122196
1.065567484662577, 12.418952618453867
1.3148006134969328, 10.62344139650873
1.6407208588957058, 9.052369077306734
1.995398773006135, 8.042394014962596
2.263803680981595, 7.4438902743142155
2.7622699386503067, 6.546134663341649
3.184049079754602, 5.985037406483793
3.615414110429448, 5.610972568578555
4.075536809815951, 5.274314214463843
4.641104294478528, 4.900249376558605
5.082055214723927, 4.788029925187034
5.6284509202454, 4.6384039900249405
6.098159509202455, 4.6384039900249405
6.663726993865031, 4.6758104738154636
7.066334355828221, 4.750623441396511
7.670245398773006, 4.825436408977559
8.111196319018408, 5.124688279301749
8.676763803680982, 5.498753117206984
9.117714723926383, 5.910224438902745
9.577837423312884, 6.171321695760601
10.057131901840494, 6.382044887780551
10.584355828220861, 6.855361596009978
10.9773773006135,6.979052369077309
11.447085889570555, 7.276807980049878
11.926380368098162, 7.349376558603492
12.357745398773007, 7.494912718204492
12.760352760736199, 7.670074812967583
