Month,Sales_volumn,Unit_price,Promotion_expense,ROI,Profit_rate,Unit_cost,Target,Version,Int_month
0.7272727272727273,0.0503805891915708,0.9732699411553288,0.1316490642139376,0.9800797641964946,0.989713585567864,0.9868582324935722,0.152417994803932,1.0,9
0.8181818181818182,0.152417994803932,0.9567663879804852,0.3585620997725193,0.9825905311884257,0.9910212199535696,0.9421065485526284,0.4242847809902916,1.0,10
0.9090909090909092,0.4242847809902916,1.0,1.0,1.0,1.0,1.0,0.2460307813853142,1.0,11
1.0,0.2460307813853142,0.9802955281093076,0.5787592414621191,0.9947759046702692,0.997321802608451,0.9672478534615254,0.1391315577568787,1.0,12
0.0,0.1391315577568787,0.220385370835031,0.1375126638012633,0.1082948747375269,0.1919197608383392,0.8814577088671762,0.3787204302708944,1.0,1
0.0909090909090909,0.3787204302708944,0.2272812916406463,0.3817359820370006,0.1053029817329365,0.1871023049024054,0.9270144672361016,0.3262887616037923,1.0,2
0.1818181818181818,0.3262887616037923,0.203595619493353,0.3150569579365646,0.0911376892181453,0.1639497839861504,0.8516947276584239,0.2790911438946201,1.0,3
0.2727272727272727,0.2790911438946201,0.1928078022357554,0.2638364670775943,0.0995444021255122,0.1777592143760223,0.7678468528240328,0.3064236770537383,1.0,4
0.3636363636363636,0.3064236770537383,0.1684223040570339,0.276693864737114,0.0922656335210594,0.1658144642239463,0.6640131574613961,0.423335207159027,1.0,5
0.4545454545454545,0.423335207159027,0.1912221089951224,0.4002379543546227,0.1104954223854952,0.195447114266697,0.7246634598991415,0.3129871313754387,1.0,6
0.5454545454545454,0.3129871313754387,0.1813905733245246,0.2898531212854613,0.0877538308733155,0.1583334486539157,0.7463499109094673,0.3194366368373874,1.0,7
0.6363636363636364,0.3194366368373874,0.1910351353118748,0.301316818918345,0.1077955983303367,0.1911175770671125,0.7322592905126335,0.2857001777602212,1.0,8
0.7272727272727273,0.2857001777602212,0.1879448450710198,0.2676751867911386,0.1305640116431776,0.2270073034774714,0.6458540867931699,0.2139275892979231,1.0,9
0.8181818181818182,0.2139275892979231,0.1758021710524814,0.1951253244600601,0.1020280265064029,0.1818002969946853,0.6718703376404864,0.5272945502058676,1.0,10
0.9090909090909092,0.5272945502058676,0.2308382968292998,0.5353247696799888,0.1273394493687187,0.2220090727312892,0.8715138591084197,0.4016849238061958,1.0,11
1.0,0.4016849238061958,0.1659277912329018,0.3618813535466005,0.1003875852590989,0.179133112364029,0.6258269283525171,0.1857062550327413,1.0,12
0.0,0.1857062550327413,0.3145947383953073,0.2159653039438046,0.2912439347933185,0.4455526210929579,0.7545464304333431,0.0716054634679955,1.0,1
0.0909090909090909,0.0716054634679955,0.3491419230520701,0.0887561108981349,0.3216270220085143,0.4811062482969247,0.8113949266418587,0.1717741077804281,2.0,2
0.1818181818181818,0.1717741077804281,0.3427923309890155,0.2086927685527901,0.312768074737884,0.4709038599346392,0.8107885934026275,0.1953995047022896,2.0,3
0.2727272727272727,0.1953995047022896,0.2873457361160464,0.2175380208434271,0.3243693681688673,0.4842377378863488,0.5492851738247388,0.2220331515215971,2.0,4
0.3636363636363636,0.2220331515215971,0.2778109458330909,0.2433754882940652,0.3415074295738254,0.5035274118489329,0.4660899491004766,0.1894893571764992,2.0,5
0.4545454545454545,0.1894893571764992,0.3349427019161808,0.2273626898577674,0.2938080358170272,0.448615354121943,0.8334067297922272,0.1118597973229614,2.0,6
0.5454545454545454,0.1118597973229614,0.3362176369052911,0.1349949770531648,0.3254093271560406,0.4854219947121519,0.7473694298643885,0.1362372567191844,2.0,7
0.6363636363636364,0.1362372567191844,0.348936766475047,0.1673801117573395,0.3247677528489323,0.4846916120518846,0.801481739581583,0.1229204333095306,2.0,8
0.7272727272727273,0.1229204333095306,0.3433372426388475,0.149872766015683,0.3281557007281999,0.4885408225670483,0.7687991441548556,0.2019021862987891,2.0,9
0.8181818181818182,0.2019021862987891,0.2881308963602616,0.2250633329276459,0.3833955367026687,0.5487281263382712,0.4031618925681597,0.1725945395706407,2.0,10
0.9090909090909092,0.1725945395706407,0.3717707828599766,0.2188442317911796,0.3524851184920957,0.5156349793771581,0.8146411383229344,0.0560856287698081,2.0,11
1.0,0.0560856287698081,0.3678526893749631,0.0721042268221868,0.3569399476848554,0.520494292569328,0.7863449020775617,0.0897081389872225,2.0,12
0.0,0.0897081389872225,0.4184340769052214,0.1230170208638073,0.4422066343802699,0.6078973519005882,0.7456646047449298,0.0498412312554125,2.0,1
0.0909090909090909,0.0498412312554125,0.4227297596129042,0.0702992121572552,0.4359271634237912,0.6018035226516721,0.7784593328321203,0.0724410884395083,3.0,2
0.1818181818181818,0.0724410884395083,0.4196128604830157,0.1001544763796389,0.4079246909729976,0.5739883542421959,0.8441510676790345,0.1597107218280435,3.0,3
0.2727272727272727,0.1597107218280435,0.3004585072056651,0.1816727745020595,0.4317157440012154,0.5976876011565505,0.3355850403477189,0.2371883498685789,3.0,4
0.3636363636363636,0.2371883498685789,0.2821904071983481,0.2618629591838052,0.4034204692735547,0.5694139509269839,0.3325930874831364,0.4987845454959814,3.0,5
0.4545454545454545,0.4987845454959814,0.0457450092791314,0.3460071169594839,0.0324942721287243,0.0616318352892277,0.1753658288828021,1.0000000000000002,3.0,6
0.5454545454545454,1.0000000000000002,0.0,0.6215126210858053,0.0,0.0,0.0,0.5245901639344263,3.0,7
0.6363636363636364,0.5245901639344263,0.0079595260459241,0.3298540333358629,0.0091314692209164,0.0177029655178798,0.0226197736721589,0.4004010999863261,3.0,8
